Name,About,Experience
Michael Boe,"Influential leader with over 22 years of successful Air Force and corporate leadership with major impacts in intelligence,",Strategic Planning Specialist
Mark Parrott,"Versatile, decisive leader, project manager and operations manager with 24 years of military and corporate experience & proven ability to: obtain results and achieve success through avid pursuit of personal & organizational excellence; promote, develop and maintain collaborative working relationships with supervisors, peers and subordinates; and quickly analyze dynamic operating environments and modify strategies to optimize effectiveness & efficiency.

Active Security Clearance: Top Secret / SCI
Certification: DoD Acquisition/Program Management Level I+","Title
Senior Project Manager
Dates Employed
Jan 2017 – Present
Employment Duration
3 yrs 11 mos
Location
Baltimore, Maryland Area
Title
Senior Defense Research Analyst
Dates Employed
Mar 2016 – Jan 2017
Employment Duration
11 mos
Location
Baltimore, Maryland Area"
Ken Nugent,"A committed servant-leader with experience managing complex operations, client relationships, business development, product and general management roles.

Depth and breadth of experience in defense, technology and consulting that have allowed me to serve others, wear multiple hats, work with great people, learn new industries and learn them fast! My experiences have re-validated the belief that everything is possible when you combine passionate people, clearly communicated goals, intense focus and hard work. Left the U.S. Air Force as a Colonel.

Proven areas of expertise:
• Leading, Operating and Collaborating from Strategic through Tactical Levels
• Business Development
• Strategic Planning and Execution
• Program Management
• Non-Profit Management and Fund Raising","Providing Consulting services to Middle Eastern government and business clients with Strategy Development, Transformation, Business Process Reengineering (BPR), Business Process Improvement (BPI), IT Strategy, Project Management Office (PMO), Change Management, Acquisition and Training Strategy."
Don Kaynor,EMPTY,"Title
Commercial Assessments Coordinator
Dates Employed
Jan 2020 – Present
Employment Duration
11 mos
Location
Springfield, Virginia, United States
Title
Experimental Research Demonstration Team Le
Dates Employed
Jan 2019 – Feb 2020
Employment Duration
1 yr 2 mos
Location
Springfield, Virginia, United States
Title
Senior Integration Officer
Dates Employed
Jul 2015 – Jan 2019
Employment Duration
3 yrs 7 mos
Location
Springfield, Virginia"
James (Scott) O'Meara,"Over 20 years of demonstrated leadership experience with:

- Program execution meeting strategic goals, T&C, milestones, timelines
- Leadership development building motivated teams and future leaders
- Personnel management enabling retention of high quality people
- Leading and managing large organizations through strategic intent and presence
- Leading and managing client engagements exceeding expectations
- Identifying client needs to expand and capture business opportunities
- Transformational leadership producing new operational concepts and approaches
- Defense and management consulting with focus on meeting 21st challenges
- Executive level international engagements aimed toward optimizing partnerships and access
- Formulating national defense policy, strategy, plans

TS cleared, SCI eligible","Strategic Leadership; Thought Leadership; Program Management; Project Execution; Change Management; People Management; Building High-Performance Teams; Managing Client Engagements; Business Development; Capture and Proposal Drafting

- May 2020 to Present: Business Development and Capture with focus on Information Warfare and Joint All-Domain Command and Control market.

- March 2019 to May 2020: Advisory Support Team leader of eight joint warfighting and leadership Subject Matter Experts assisting and advising senior Flag Officers of a strategic partner within the Middle East to transform their Ministry of Defense and Armed Forces into a modernized force interoperable with the U.S. and NATO.
…
see more"
Heather Conway,"I am a dedicated individual who is a natural leader. I am a diligent worker who is comfortable working independently or as part of a diverse team. Former Russian Linguist for the United States Air Force (USAF), currently supporting the USAF as a Geospatial Analyst to foster a deeper understanding for intelligence gathering methods and processes. An experienced member of the intelligence community constantly searching for new challenges to become a more complete, competent, and competitive analyst.",EMPTY
Sybil Campbell,"Competent system administrator with 9+ years of experience. Experience: maintaining, building, and troubleshooting","Title
Senior Lead Cloud Engineer
Full-time
Dates Employed
Jan 2020 – Present
Employment Duration
11 mos
Location
Crystal City
Title
Senior Cloud Engineer
Dates Employed
Jul 2018 – Jan 2020
Employment Duration
1 yr 7 mos
Location
Tysons corner
Title
System Administrator (Staff Technologist)
Dates Employed
Jul 2017 – Jul 2018
Employment Duration
1 yr 1 mo
Location
McLean, VA
- Completed F5 upgrade to BIG IP 13.0.0 in 8+ environments and applied Hotfix 3 removing a known vulnerability.
- Interpreted network evaluation, researched, planned, and completed vulnerability remediation across multiple environments and operating systems with 0 downtime.
- Documents workflow, daily operations, and fix actions to aide in the training of new hires and junior staff.
- Scripted Redhat 7 server configuration to aide in the rapid deployment and lockdown of Linux servers.
- Upgraded HBSS Server in accordance to the DoD Guidelines resolving multiple STIGS, and upgraded - - Virus Scan/Host Intrusion Protection to Patch 9 to resolve false positive findings
- Planned, organized and moved AWS environment to Gov Could to include building servers, configuring applications, working with SMEs to test applications.
- Creating documentation on complex systems to remove single points of failures on the team.
- Excellent AWS skills: EC2, VPC, S3, Cloud Watch, Cloud Trail, RDS, and IAM.
- In charge of team hiring: screening resumes, interviewing, and providing recommendations to Leadership
…
see more
Title
System Administrator (Technologist)
Dates Employed
Mar 2017 – Aug 2017
Employment Duration
6 mos
Location
Oklahoma City, Oklahoma
- Migrated farm to GovCloud region in AWS to include: copy snaps, encrypting drives, launching servers, obfuscating the data, and troubleshooting issues during process.
- Migrated multiple projects from one AWS region to another while working and communicating with the client to ensure no unexpected downtime or delays.
- Effectively communicate directly with users, SMEs, and Project Leads on Tier I-III trouble tickets.
- Plan, schedule, and communicate all after hours events for 4 environments and multiple personnel.
- Completed current risk assessment with the recommended path to remediation for Senior Management
- Project Manager for a remote client working & leading projects as a Tier III administrator: server replacement, Rhel 7 administration, application troubleshooting, building and configuring Rhel servers and applications
- Built and configured Rhel 7 server. Applied DoD stigs -- 98% compliant.
- Maintain, troubleshoot, and patch Linux Redhat 7 and Windows 2008/2012 servers across 10+ environments.
- Domain administrator for multiple environments: account provisioning, DNS management, administering GPO’s, troubleshooting and remediation
- Create and maintain PowerShell scripts automating daily functions increasing performance and productivity.
- Created S3 policy to isolate resources from external access even if marked public within AWS.
- Administer multiple projects across multiple AWS regions performing: snapshots, key rotation, security group modifications, server launching/termination, reviewing logs, setting up alerts, and troubleshooting issues.
…
see more"
James Dickey,EMPTY,Associate
James “LAMBO” Lamb,EMPTY,Lead Associate
"Christopher Stafford, PMP","- Extensive multidisciplinary intelligence analysis experience
- Adept at complex analysis, information fusion and data visualization
- Oversaw AF technical training requirements, policy and programming
- Broad range of geospatial, targeting & all-source assignments
- Remote sensor experience; Predator mission ops commander
- Exploited electro-optical/radar/multispectral/hyperspectral imagery
- Planned and executed full spectrum information operations
- Latin American Regional Affairs Officer
- Bilingual (English/Spanish), proficiency in Portuguese
- Certified Level 2 TRX FORCE trainer
- Current Top Secret Clearance (SBI: Apr 2011)","Title
Senior Associate
Dates Employed
Jan 2018 – Present
Employment Duration
2 yrs 11 mos
Location
San Antonio, Texas
Title
Lead Associate
Dates Employed
Oct 2013 – Present
Employment Duration
7 yrs 2 mos
Location
san antonio, texas area"
Dawnique Coles,"Experienced Manager with a demonstrated history of working in the management consulting industry. Skilled in U.S. Department of Defense, Customer Service, Management, Operational Planning, and Military. Strong professional with a Associate's degree focused in Logistics, Materials, and Supply Chain Management from Community College of the Air Force.",Logistics Analyst
Adam Cody,"I am currently a member of both a Booz Allen Hamilton network/predictive nodal analysis team, as well as a member of The Ohio Air National Guard. For the past two years with Booz Allen Hamilton I have been a team lead, in charge of a five person team that has been responsible for multiple national level deliverables. Additionally, My experience in The Ohio Air National Guard as a non-commissioned officer (NCO) has allowed me to develop key traits that envelop team work, adapting to situations, responding decisively and efficiently while constantly moving forward as an analyst. I have over 14 years experience in several intelligence disciplines, allowing me to analyze information from multiple source in a timely and systematic manner. I am well-organized, have the ability to prioritize and multitask while making decisions under pressure, and constantly strive to surpass the status quo.","I am currently acting as a project lead for a five person analysis team. As a project lead, I ensure complete and accurate analysis and reporting through professional guidance and quality control measures. Additionally, I am responsible for managing multiple national level deliverable on adversary capabilities. On a daily basis I leverage local and national level databases to ensure decision makers are provided with the best possible analysis and reporting."
David Strong,"I am a 21 year Coast Guard Officer with maritime operations, joint capability development, overseas security assistance/cooperation management and overseas contingency operations response experience.



Specialties: Leadership; joint, multi-national and maritime operations; international relations; joint capability development; partner nation capacity building; government and interservice liaison.","Title
Senior Associate
Dates Employed
Feb 2020 – Present
Employment Duration
10 mos
Location
Fayetteville, North Carolina, United States
Title
Senior Associate
Dates Employed
Jul 2018 – Jan 2020
Employment Duration
1 yr 7 mos
Location
Washington D.C. Metro Area
Title
Lead Associate
Dates Employed
Sep 2016 – Jul 2018
Employment Duration
1 yr 11 mos
Location
Al-Riyadh Governorate, Saudi Arabia"
Matthew LaVallee,EMPTY,Aviation Analyst
Jim Reid,"2000-2011: Political appointee; Director Office of Cooperative Threat Reduction Policy DoD
1968-2000: Officer USAF retired as Colonel; electrical engineer and missile maintenance and operations, squadron and wing commander
1966-1968: Math Analyst NIH grant
1961-1966 BS from University of Michigan with teaching certificate in math and physics","Advising the office of Countering Weapons of Mass Destruction on matters related to countries of the former Soviet Union, countries in Southeast Asia."
Troy Abbott,"I support Navy and Marine Corps business in the mid-Atlantic, leading teams focused on Engineering contributions to C4ISR systems development. Primary focus is at Naval Air Systems Command and Naval Air Warfare Center, Aircraft Division, but I also support Naval Surface Warfare efforts at Dahlgren, Indian Head, and the Navy Yard in Washington DC. Work in engineering, systems integration, research, development, test and evaluation (RDT&E), with particular focus on manned and unmanned aircraft systems.

Previously SAIC, as Division Manager for Simulation and Research Services Division in Lexington Park, MD. In addition to NAVAIR, the Division provided aeronautical engineering to NASA (Langley, Ames, and Johnson); Air Force Research Lab (AFRL) in Dayton, OH; and the FAA.

BS Aerospace Engineering, Virginia Tech, 1993
BS Ocean Engineering, Virginia Tech, 1993
MS Aerospace Engineering, Virginia Tech, 1995, focus on flight dynamics and control.

Real-time physics-based simulation of aircraft dynamics and subsystems, engineering and training on both fixed- and rotary-wing platforms. This includes pilot-, avionics- and flight hardware-in-the-loop, live and virtual simulations that support engineering analysis, handling qualities evaluation and research, aircrew training, flight control system design, accident investigation, and flight test risk reduction.

Active, instrument-rated private pilot, and a licensed unmanned (SUAS) pilot.

Avid outdoorsman, wilderness enthusiast and amateur ecologist. Volunteer time with youth (Scouts, school system) to build appreciation for nature, individual skills development, conservation, leadership, and outdoor ethics. Interested in remote sensing, aerospace (including unmanned), machine learning and large dataset analysis on environmental issues.

Specialties: Aviation, Aircraft, Aircraft Systems, Simulation, Flight Control, Flight Test, Instrumentation, System ID, Autonomy, UAS, Physics-Based Modeling, Aerospace Engineering",Principal
Rex Jordan,"Senior Vice President at Booz Allen Hamilton Inc. Market lead for the Firm’s Aerospace Readiness business area including Platform Solutions and Enterprise Solutions accounts--including the Firm’s Florida Panhandle, Albuquerque NM, Oklahoma City OK, Warner Robins, GA, Ogden UT, F-35 Engineering and Logistics Support Contracts and classified sites.

Manager for Booz Allen’s efforts assisting Air Force Materiel Command, Air Force Life Cycle Management Center, Air Force Sustainment Center, Air Mobility Command, and Air Combat Command. Support includes development of acquisition and modernization requirements and the development and sustainment of Lifecycle Management Plans and Roadmaps for a multitude of fleets.

Before joining Booz Allen, spent 20 years in the U.S. Air Force as a HQ USAF staff officer, faculty member at the U.S. Air Force Air Command and Staff College, Air Force One Navigator (Presidential Airlift Group '97-2001), and Chief of Presidential Flight Support, Headquarters U.S. Air Force.

Active in industry forums including the Airlift Tanker Association, Air Force Association, and serves on the Board of Directors of the SAM FOX Association.

Holds a Bachelor of Science degree in Biology and Chemistry and a Master of Science. Registered Patent Agent.

Top Secret security clearance with special accesses.",Vice President
Johanna Ogden,EMPTY,Associate
Tim Boyer,EMPTY,Task Order Lead
Nora Johnson,"I take pride in my role as a design strategist, navigating complex stakeholder interactions and wearing the many hats of design including: graphic design, design research, service design and user experience design. My passions are leading design thinking within diverse teams, engaging empathetic methods throughout the process, and producing beautiful results no matter the deliverable.",Sr. Design Strategy Consultant
Tyler Burkhalter,"Young but skilled and knowledgeable IT professional with 3 years of training with direct supervision and 6 separate years of experience with general to minimal supervision/direction distributed in network setup, network administration and security, system administration, computer software, hardware, troubleshooting and end-user support.

Holds and maintains an Active DoD TS/SCI security clearance.

Specialties:
Tenacious work ethic
Tact and efficiency
Critical thinking and problem solving skills
Computer Networking
Programming PowerShell scripts to accomplish and simplify tedious tasks and/or maximize efficiency

Accomplishments:
In 2013, Jesse Miglionico and I placed 28th out of over 900 teams throughout the U.S. and Canada in the Cisco CCENT NetRiders competition.
As an IT Specialist JR, I was a part of the ""Tech Refresh"" team that deployed over 480 Lenovo laptops across the military bases in Okinawa. I ensured Internet functionality and connectivity of the machines to the network domain after the assets were physically installed; backing up and restoring data (using the Windows Easy Transfer [WET] and User-State Migration Tool [USMT]) upon the customer's request.
As an IT Specialist JR, I was a part of the 2-man team that troubleshoots and overtakes all Local and Enterprise level VIP (L-VIP/E-VIP) issues and tickets when the Regional Service Desk (RSD) was unable to perform ""first call resolution"".
Within a month of being hired as a Hardware Technician I, I received a Letter of Appreciation from the Vice Admiral (3-star) of 7th Fleet for my ""professional performance"" that was ""invaluable to SEVENTH Fleet"", and set ""an example for others to follow."" My ""perseverance, technical expertise, and can do attitude are truly an example to be emulated by all.""

Certifications:
CompTIA Security+ ce
CompTIA Network+ ce
CompTIA A+ ce
ITIL® v3 Foundation in IT Service Management
Cisco Certified Network Associate (CCNA)
Microsoft Certified Solutions Associate (MCSA)","Gaining and expanding Juniper JunOS knowledge for troubleshooting network connectivity, routing firewall rules, packet filtering, and configuring device accounts, and NAT
Coordinates and works with Lockheed Martin, the Missile Defense Agency, General Dynamics Information Technology (GDIT), and L3 Technologies to assist with connectivity, troubleshooting, and maintenance for multiple ongoing projects simultaneously, overcoming several year-long roadblocks in short spans of time as well as assisting the above parties with troubleshooting their networks.
Received an award in ""Passionate Service"" for ""Outstanding technical acumen and cyber support"" by my career manager
Increased overall capabilities of a SCIF by 20% within 3 days of gaining access.
Created and manages a ""living OneNote"" whereby all quick reference information and guides required for roles on a daily basis are utilized and stored for future use
Gaining experience with the Change Management system within BMC Remedy
Is a primary Point-Of-Contact (POC) for all Enterprise Service Desk (ESD), networking questions and system administration functions and operations.
Remotely manages the software/update repository for Beale AFB to ensure systems receive the latest updates and patches and instructed the 9th Communications Squadron on how to utilize and take control of the script-set to maintain a stable security baseline for all workstations on Beale AFB.
Received an award in ""Collective Ingenuity"" for ""Support enabling multi-million dollar programs""
Enabled Windows Preboot Execution Environment access for the 99th Reconnaissance Squadron, greatly increasing efficiency with imaging workstations and laptops in the building.
…
see more"
Bill Knight,"I strive to lead as a servant leader: one who inspires those I work with to reach their highest potential, both personally and professionally. I focus on knocking down barriers in order to empower my team to achieve strategic objectives. As a result, I've served on exceptional teams that thrived in a culture built on integrity, mutual respect, innovation, collaboration, and excellence.

As a retired U.S. Air Force Brigadier General, I have had a highly diverse 29-year military career. I am an experienced aviation and air transportation executive with a background in international relations and global partnerships. I am particularly skilled in leading large organization strategic planning, flight operations, advanced training, graduate level education, and talent management.

Prior to entering the military, I earned a Master of Business Administration (M.B.A.), taught undergraduate courses and worked in retail sales and as a photo journalist.",EMPTY
"Jeanette (Collins) Peterson, CISSP",EMPTY,Senior Consultant
Jill A Ctr Usaf Amc Conlon,EMPTY,Consultant
David Duke,"Working for Booz Allen Hamilton, on a DoD mission set in Korea.","Career manager and Job Leader approving PTO, time sheets, managing schedules. Daily interactions with team members while managing client deliverables."
Michelle Tafur,"Management Consulting:
Michelle provides consulting and operations support for various government agencies to develop strategy and governmental capacity building, perform policy analysis, and provide knowledge on best practices. She also oversees segments of contract workstreams and provides directives to personnel to achieve high-quality client deliverables. Additional experience includes coordinating high-level meetings, drafting policies, information papers and memoranda, and designing project plans that involve key stakeholder coordination and interagency cooperation.

International Development:
Michelle has provided operational assistance on development projects in Kenya and Haiti. In Kenya, she supported the development of an M&E survey and training of personnel from the Ministry of Agriculture on distribution and implementation. In Haiti, she performed a key ceremony and facilitated the site inspection of a newly constructed health clinic, along with conducting informal interviews with the local community and clinic staff. Michelle also sits on the Board of Directors for the Foundation for Post Conflict Development. She supports the mission of the organization through partnership building, advocacy and peace education efforts. This includes attending the IMF Spring Meetings and the Work Bank Civil Society Forums as an NGO representative. She was also a key stakeholder in the development of the organization’s 2020 - 2025 Strategic plan.

Graduate Research:
Michelle received her M.A. in International Peace & Conflict Resolution from American University’s School of International Service. She selected a self-design concentration in Social Accountability & Good Governance, focusing her research on how strategies for social accountability bolster civil society, mitigate violent conflict and corrupt practices, and strengthen capacity for good governance. This research included developing a comprehensive report for a large NGO seeking to understand power and influence dynamics between State Governments and independence movements of minority populations in the Middle East. Additionally, she was accepted into the UNESCO Global Media and Information Literacy (MIL) Week 2019 Feature Conference in Gothenburg, Sweden. The presentation was focused on an original research report titled, “Media and Information Literacy for Social Mobilization and Government Accountability in Haiti.”","Title
Associate
Full-time
Dates Employed
Jul 2020 – Present
Employment Duration
5 mos
Location
Ramstein Air Base, Rhineland-Palatinate, Germany
Strategic support, Association of African Air Forces (AAAF), United States Air Forces in Europe - Air Forces in Africa (USAFE - AFAFRICA)

Policy support, Disability Evaluation System (DES), Office of Health Services Policy & Oversight (HSP&O), Dept. Of Defense

Strategic support, Special Compensation for Assistance with Activities of Daily Life (SCAADL), HSP&O, Dept. Of Defense

Strategic support, Warrior Care in the 21st Century Coalition (WC21), HSP&O, Dept. Of Defense
…
see more
Title
Senior Consultant
Full-time
Dates Employed
Jul 2018 – Jun 2020
Employment Duration
2 yrs
Location
Washington D.C. Metro Area"
Michelle Tafur,"Management Consulting:
Michelle provides consulting and operations support for various government agencies to develop strategy and governmental capacity building, perform policy analysis, and provide knowledge on best practices. She also oversees segments of contract workstreams and provides directives to personnel to achieve high-quality client deliverables. Additional experience includes coordinating high-level meetings, drafting policies, information papers and memoranda, and designing project plans that involve key stakeholder coordination and interagency cooperation.

International Development:
Michelle has provided operational assistance on development projects in Kenya and Haiti. In Kenya, she supported the development of an M&E survey and training of personnel from the Ministry of Agriculture on distribution and implementation. In Haiti, she performed a key ceremony and facilitated the site inspection of a newly constructed health clinic, along with conducting informal interviews with the local community and clinic staff. Michelle also sits on the Board of Directors for the Foundation for Post Conflict Development. She supports the mission of the organization through partnership building, advocacy and peace education efforts. This includes attending the IMF Spring Meetings and the Work Bank Civil Society Forums as an NGO representative. She was also a key stakeholder in the development of the organization’s 2020 - 2025 Strategic plan.

Graduate Research:
Michelle received her M.A. in International Peace & Conflict Resolution from American University’s School of International Service. She selected a self-design concentration in Social Accountability & Good Governance, focusing her research on how strategies for social accountability bolster civil society, mitigate violent conflict and corrupt practices, and strengthen capacity for good governance. This research included developing a comprehensive report for a large NGO seeking to understand power and influence dynamics between State Governments and independence movements of minority populations in the Middle East. Additionally, she was accepted into the UNESCO Global Media and Information Literacy (MIL) Week 2019 Feature Conference in Gothenburg, Sweden. The presentation was focused on an original research report titled, “Media and Information Literacy for Social Mobilization and Government Accountability in Haiti.”","Title
Associate
Full-time
Dates Employed
Jul 2020 – Present
Employment Duration
5 mos
Location
Ramstein Air Base, Rhineland-Palatinate, Germany
Strategic support, Association of African Air Forces (AAAF), United States Air Forces in Europe - Air Forces in Africa (USAFE - AFAFRICA)

Policy support, Disability Evaluation System (DES), Office of Health Services Policy & Oversight (HSP&O), Dept. Of Defense

Strategic support, Special Compensation for Assistance with Activities of Daily Life (SCAADL), HSP&O, Dept. Of Defense

Strategic support, Warrior Care in the 21st Century Coalition (WC21), HSP&O, Dept. Of Defense
…
see more
Title
Senior Consultant
Full-time
Dates Employed
Jul 2018 – Jun 2020
Employment Duration
2 yrs
Location
Washington D.C. Metro Area"
Karen Dahut,"Karen Dahut is an accomplished business leader who thrives on energizing organizations and building businesses by enhancing innovation and developing technology solutions for a broad base of clients. With nearly 2 decades of experience in a private company and a publicly traded (S&P500) corporation, Dahut brings extensive business, strategic and technical expertise. Her distinctive leadership approach – focused on breaking down complexity to identify new ways to create value and integrate technologies – enables organizations to unlock growth and gain critical competitive advantage during periods of growth and contracting market conditions.","Karen Dahut leads Booz Allen's largest business unit, the Global Defense business. As the leader of this nearly $4B, 10,000-person organization, Ms. Dahut directs the strategy and delivery of the firm’s strategic, technology, cyber and analytics solutions to both global commercial clients and leading defense agencies and the military services. Booz Allen Hamilton commercial clients include S&P 100 corporations in automotive, retail, life sciences, financial services and energy. In this role, Karen also serves on the boards of Booz Allen Hamilton Engineering Holding Co., LLC and Booz Allen Hamilton Engineering Services, LLC.

As a C-suite executive, Ms. Dahut previously served as Group Leader for the firm’s $2B Civil and Commercial Group (CCG). As the lead of this 6,000-person organization, Ms. Dahut directed the strategy and delivery of the firm’s services and solutions to both commercial clients and leading federal civilian agencies, including Health, Finance and Homeland Security agencies and departments.

Ms. Dahut also served as Booz Allen Hamilton’s first Chief Innovation Officer. In this role, she imagined, built, and led the firm’s $500M, 2,000-person Strategic Innovation Group (SIG). Established in 2012, the SIG builds the firm’s business around innovative, next-generation cloud, cyber, data science and digital technologies. She created game-changing businesses to transform client enterprises and create new growth avenues for the firm.
…
see more"
Beth Cullen,"Fifteen years of experience consulting a diverse portfolio of projects across several military departments, defense and civilian agencies. Skill set includes financial management, programming, budgeting, cost estimation, congressional liaison, data analytics, requirements analysis, program management and process improvement. Responsible for leading project teams and client working groups, identifying and implementing process improvement initiatives, mentoring junior employees, and building team and client relations. Flexible working independently or in team environments.

Proficient in Microsoft Office products Excel, PowerPoint, Outlook, and experience working in Access databases.

Database Systems proficient in: Tableau, Programming Budget Information System (PBIS) systems including PBIS database/PBISweb tools, Oracle’s SAP Navy-Enterprise Resource Planning System (N-ERP), Congressional Information Management System (CIMS). Experience in Automated Budget Interactive Data Environment System (ABIDES) and the Commanders’ Resource Integration System (CRIS)",Lead Associate
Mike Christian,"Some men see things as they are, and ask why. I dream of things that never were, and ask why not. Robert Kennedy","Team Lead for multifunctional analysts performing Risk Assessments, Independent Logistics Assessments and Performance Based Logistics trade studies in support of major acquisition programs."
Baxter Swift,EMPTY,Lead Associate
Don Supon,"Mr. Supon has 25+ years of military and consulting experience with progressively increasing leadership and management responsibilities specializing in project management, domestic and international and policy formulation, distribution and logistics support, Department of Defense budget planning and execution, aircraft and munitions maintenance, explosives safety, and training. Experienced in Agile development and SCRUM, readiness and advanced analytics.","Subject Matter Expert
Identify, analyze, evaluate, and monitor extremely complex or highly sensitive foreign and domestic systems and instrumentation, methods, procedures, and processes. Perform all-source scientific and technical intelligence analyses to determine the characteristics of various systems and functions of instrumentation. Solve complex information requirements problems via a combination of analytic judgment and proven analytic practices. Prepare briefings and reports on analysis methodology and results. Participate in Agile development, SCRUM and project management of munitions tool."
Ken Sours,"Experienced Senior Military Analyst with a demonstrated history of working in the management consulting industry. Skilled in Operations Management, Operational Planning, Program Management, Corporate Communications, Management, Joint Military Operations, Global Command & Control, Training, Exercise Design & Execution, Global Air Operations, Doctrine and Concept Development, Information Operations, and Electronic Warfare. Strong military and management professional with a Bachelor of Science (BS) focused in Advertising from The University of Texas at Austin.",Senior Military Analyst
Kaitlyn Barone,EMPTY,Caregiver
Adam Snow,System Engineer at Booz Allen Hamilton,System Engineer at Booz Allen Hamilton
Jason Wilson,"Command
TS/SCI DCID 6/4 June 2014
Joint Terminal Attack Control & Joint Fires Observer
Military Officer, Fighter Pilot, Instructor Pilot, Weapons Officer, Mission Commander
Joint Staff Officer, Special Technical Operations, STO Planner",Task Lead
Sweitzer Randy,"30+ years of strategic planning & analysis, project and program management, budgetary analysis with a focus in Six Sigma, Data Analytics to process improvement. My strengths in working efficiently, identifying / defining problems and targeting potential solutions have led to the development of several successful teams. My skills in personnel management have fostered strong leadership, peer respect and tremendous personal growth.","Title
Lead Associate
Dates Employed
2018 – Present
Employment Duration
2 yrs
Location
Clearfield Utah
Title
Associate
Dates Employed
Jun 2013 – Present
Employment Duration
7 yrs 6 mos
Contracted to develop, manage and lead a Lean Six Sigma, Change Management programs, consult with senior client management, direct, lead and manage continuous improvement projects, maintain financial and operational benefits, and mentor and train leadership and frontline employees. Directed daily operations of personnel, across multi-agency teams"
Karen Masters,"PROFILE

Highly qualified professional with a progressive command, control, communications, computers, intelligence, surveillance and reconnaissance operational background. Experienced on command and control operating systems and operations, network security and compliance, cryptography management, operational test and evaluation and project management. Specialized subject matter expert on ground tactical air control battle management operations, tactics, techniques, procedures and joint tactical data link architecture, capabilities and limitations.

_______________________________________

KEY SKILLS



• C4ISR Operations
• Project Management
• Operational Test & Evaluation
• Cryptography Management
• Command & Control Tactics, Techniques & Procedure
• Tactical Data Link Management
• Network Security & Compliance
• Battle Management Operating Systems
• Database Administration",Cyber Mission Force Program Analyst
Kimberly (Gardner) DeCoste,Experienced Lead Associate with a demonstrated history of working in the management consulting industry. Skilled in,Lead Associate
Dave Poundstone,EMPTY,Working with 92 Cyber Operations Squadron
Vernon (Izzy) Isbel,"As a goal-oriented leader that sets high expectations, I take pride in my ability to face challenges head on and I’m not easily swayed by obstacles or disapproval from others if it means making improvements. I seek opportunities to test my problem-solving skills and finding ways to improve my teams as well as myself. Although I have a strong drive and competitiveness, I always consider how my actions may affect others on my team and work to balance efficiency and quality. For 30-years my bottom line has been human capital. My decisions have to take into account the effect on mission accomplishment, the individual and their families.

I’ve spent a lifetime focusing on successful execution without the luxury of selecting my team. As a military leader I have to find ways to develop the skills in every team member without the ability to change members who do not exhibit capability.

I like to approach new challenges humbly and learn how my talents best fit the organization, I’m not about changing operations unless change produces a more efficient or effective organization. I believe change just for the sake of change is counter-productive.

I’m always looking for a winning solution an I take a pragmatic approach in analyzing evidence without falling prey to indecision. Definitely not afraid to make a decision or point out shortcomings in a plan while working towards wining solutions void of emotional biases, even when skeptical on potential drawbacks. I’m unwilling to compromise my principles, and not afraid to be blunt or insistent even when it means I must face resistance, opposition, or conflict if it means doing what is right for myself, me team, and my organization. I move quickly from conflict and remain fair-minded to find resolutions that are in the best interest of the team and organization.

In my spare time I enjoy spending time with my family, history, running (I've run 4 half marathons since turning 40)/exercise, camping/outdoors, and riding my motorcycle on sunny days.",EMPTY
Linda Thompson,"Ms. Thompson has 16 years of professional consulting experience in various environmental settings including sustainability, greenhouse gases (GHG), environmental management systems (EMS), and global chemical regulations. Since joining Booz Allen Hamilton, she has provided support on a variety of projects involving infrastructure and environmental challenges for government and private sector clients. Prior to joining Booz Allen Hamilton, she worked at a law firm in Washington D.C. assisting clients in global regulatory environmental compliance. Her background also includes analytical chemistry at the Xerox Corporation, and pharmaceutical research at Astra Arcus USA. She is a member of the American Chemical Society, and Alpha Chi Sigma Chemistry Fraternity.

Specialties: Sustainability initiatives; greenhouse gas inventories; environmental management systems (EMS); Clean Air Act (CAA) and Clean Water Act (CWA) compliance; environmental policy; green chemistry; Toxic Substances Control Act (TSCA); project management","Developed sustainability plans and greenhouse gas (GHG) inventories under Executive Order (EO) 13514, Federal Leadership in Environmental, Energy, and Economic Performance, and EO 13693, Planning for Federal Sustainability in the Next Decade

Technical/functional expert for Clean Air Act (CAA) and Clean Water Act (CWA) compliance issues, including GHG reporting programs and the Chesapeake Bay Program

Implemented and supported environmental management systems (EMS) and greening campaigns, including greening laboratory activities
…
see more"
